contrast,seed,task,samples,speakers,baseline_accuracy,candidate_accuracy,difference_accuracy,bootstrap_accuracy_ci_low,bootstrap_accuracy_ci_high,probability_candidate_better_accuracy,baseline_balanced_accuracy,candidate_balanced_accuracy,difference_balanced_accuracy,bootstrap_balanced_accuracy_ci_low,bootstrap_balanced_accuracy_ci_high,probability_candidate_better_balanced_accuracy,baseline_macro_f1,candidate_macro_f1,difference_macro_f1,bootstrap_macro_f1_ci_low,bootstrap_macro_f1_ci_high,probability_candidate_better_macro_f1,baseline_correct_candidate_wrong,baseline_wrong_candidate_correct,mcnemar_exact_p,mcnemar_holm_p,mcnemar_holm_significant_0_05
base_prosody_vs_acoustic,42,region,2023,1342,0.9362333168561542,0.9367276322293623,0.0004943153732080985,-0.006968727875952582,0.007964161274265802,0.5225,0.9338908801274393,0.9339808291791978,8.994905175851997e-05,-0.007591345968317764,0.007790989723102478,0.5081,0.9351407096247715,0.9354628010072794,0.00032209138250793856,-0.007434917813445146,0.007986269765661833,0.5303,25,26,1.0,1.0,False
base_prosody_vs_acoustic,42,province,2023,1342,0.4745427582797825,0.5279288185862581,0.05338606030647558,0.034516346153846106,0.07281813184536215,1.0,0.47705049618238915,0.5301838113093705,0.053133315126981384,0.03471093244212775,0.07228871783573117,1.0,0.47339454121764024,0.5262417568525414,0.052847215634901135,0.03387765479980787,0.07172857173975733,1.0,98,206,5.593097958659652e-10,3.915168571061756e-09,True
base_prosody_vs_acoustic,43,region,2023,1342,0.9401878398418191,0.944142362827484,0.003954522985664899,-0.003448318349450222,0.011483062762178618,0.8365,0.9370727420041473,0.9411499745945426,0.0040772325903953854,-0.003469419726451056,0.011846708744160897,0.8512,0.9384450822008588,0.9430125505644114,0.004567468363552596,-0.0030963859441151846,0.012491237360111204,0.8744,26,34,0.36629400670329104,1.0,False
base_prosody_vs_acoustic,43,province,2023,1342,0.4957983193277311,0.5383094414236282,0.042511122095897136,0.022908269456287888,0.06237424547283699,1.0,0.4983768023530833,0.5394815230994188,0.04110472074633548,0.02170129742953427,0.060049610408340025,1.0,0.4912528758835486,0.5315347359596793,0.04028186007613066,0.02064825959045098,0.060045209780712684,1.0,131,217,4.6827838888449224e-06,9.365567777689845e-06,True
base_prosody_vs_acoustic,44,region,2023,1342,0.9436480474542758,0.9387048937221948,-0.004943153732080985,-0.012170410083920724,0.002011086124590674,0.0769,0.9416196322388387,0.9364671308312391,-0.005152501407599597,-0.012495440462179676,0.002026354969582866,0.0807,0.9425312144209815,0.9373557067541558,-0.005175507666825729,-0.012500158344362716,0.001966104062340962,0.0788,27,17,0.17417114727072658,1.0,False
base_prosody_vs_acoustic,44,province,2023,1342,0.4681166584280771,0.5234799802273851,0.055363321799307974,0.03630019372914109,0.0750954420222089,1.0,0.46942959551896457,0.5256088110377298,0.05617921551876526,0.037874933395218524,0.07527093056134589,1.0,0.46106714508893526,0.5214293892640504,0.0603622441751151,0.04112451705682228,0.08002867539480514,1.0,112,224,9.87896316300493e-10,5.927377897802958e-09,True
large_prosody_vs_acoustic,42,region,2023,1342,0.9426594167078596,0.9436480474542758,0.000988630746416197,-0.005839416058394109,0.007940446650124059,0.5787,0.9415516554745328,0.9417315535780496,0.0001798981035168179,-0.006622804200229071,0.007108891793393117,0.5146,0.941478495809542,0.9422712712546115,0.0007927754450695046,-0.006194558962018212,0.007920657857153818,0.5823,20,22,0.8776143287523154,1.0,False
large_prosody_vs_acoustic,42,province,2023,1342,0.5442412259021255,0.5986159169550173,0.05437469105289172,0.03688933200398803,0.0718534695280167,1.0,0.5466764103364826,0.6008813722214058,0.054204961884923186,0.0373335088734599,0.07106202879285446,1.0,0.5335414492739703,0.5932164999358027,0.05967505066183243,0.0428980542329719,0.07769809166704027,1.0,83,193,2.9424453089063485e-11,2.6482007780157134e-10,True
large_prosody_vs_acoustic,43,region,2023,1342,0.9337617399901137,0.9401878398418191,0.006426099851705391,0.0,0.013265695112279966,0.971,0.9336649775470688,0.9393111687883656,0.0056461912412968385,-0.000687613489001626,0.012453281741469886,0.9583,0.9328372144117755,0.9391701576967831,0.006332943285007664,-0.00010310978587974007,0.013266912000955807,0.9734,16,29,0.07245426016254441,0.869451121950533,False
large_prosody_vs_acoustic,43,province,2023,1342,0.5422639644092931,0.5907068709836876,0.04844290657439443,0.030317344831839475,0.0665032579823012,1.0,0.5442370753272502,0.5922992658605241,0.048062190533273874,0.03038152129071312,0.06571874788704023,1.0,0.532026717558392,0.5888446905544971,0.056817972996105026,0.038202961552526594,0.07489471888613614,1.0,99,197,1.2787216274867348e-08,6.393608137433674e-08,True
