true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
73,38,42,29,-13
12,11,30,18,-12
48,47,19,27,8
24,21,21,27,6
62,95,27,26,-1
61,95,21,25,4
49,81,25,2,-23
69,84,21,24,3
94,83,24,2,-22
94,95,18,23,5
74,73,21,23,2
93,47,9,22,13
97,11,21,22,1
49,47,16,22,6
84,71,20,16,-4
86,76,19,10,-9
47,93,18,10,-8
97,21,13,17,4
38,73,10,17,7
66,95,16,14,-2
83,84,10,16,6
67,71,16,10,-6
26,11,13,15,2
64,83,7,15,8
78,77,15,0,-15
68,83,8,15,7
69,66,9,15,6
64,70,15,8,-7
88,19,14,12,-2
21,11,9,14,5
94,69,14,13,-1
24,20,10,14,4
69,71,14,12,-2
23,28,13,14,1
94,66,5,14,9
43,76,14,8,-6
17,34,13,7,-6
83,69,12,13,1
47,48,13,8,-5
20,34,13,12,-1
67,70,9,13,4
99,27,13,8,-5
12,20,4,13,9
24,11,10,13,3
12,25,13,10,-3
22,97,13,8,-5
27,11,12,10,-2
83,66,12,9,-3
68,93,12,6,-6
60,93,12,10,-2
27,97,10,12,2
34,98,12,12,0
67,66,10,12,2
68,66,12,6,-6
25,34,9,12,3
84,95,12,11,-1
64,71,12,7,-5
43,86,4,12,8
25,89,8,11,3
69,65,11,6,-5
84,93,11,8,-3
26,21,11,5,-6
21,24,10,11,1
18,21,11,4,-7
94,65,11,10,-1
84,64,6,11,5
19,89,9,11,2
30,11,10,8,-2
59,93,10,2,-8
99,20,0,10,10
97,22,10,3,-7
84,70,10,6,-4
62,70,9,10,1
14,15,10,4,-6
24,23,10,4,-6
15,14,10,8,-2
25,11,10,9,-1
25,26,10,6,-4
61,63,10,2,-8
90,20,1,10,9
65,62,9,10,1
69,95,7,9,2
84,68,9,5,-4
49,85,6,9,3
90,36,9,9,0
81,47,9,0,-9
63,71,9,9,0
12,99,2,9,7
71,64,9,9,0
88,89,9,3,-6
90,89,9,3,-6
47,81,9,1,-8
