province,seeds,mean_support,baseline_accuracy_mean,candidate_accuracy_mean,improvement_mean,improvement_std,improved_seeds,degraded_seeds,fixed_total,regressed_total
22,3,34.0,0.37254901960784315,0.6666666666666666,0.29411764705882354,0.12820291010413745,3,0,33,3
17,3,33.0,0.5858585858585857,0.7676767676767677,0.18181818181818185,0.06060606060606061,3,0,19,1
86,3,33.0,0.6464646464646465,0.8282828282828283,0.1818181818181818,0.0801742821534724,3,0,18,0
59,3,34.0,0.5196078431372548,0.6862745098039217,0.1666666666666667,0.016980890270283117,3,0,19,2
73,3,34.0,0.5196078431372549,0.6862745098039215,0.16666666666666666,0.20866467307639963,2,1,20,3
18,3,31.0,0.5591397849462365,0.7204301075268816,0.1612903225806452,0.055872606695770245,3,0,17,2
47,3,34.0,0.29411764705882354,0.45098039215686275,0.1568627450980392,0.07401798465951714,3,0,29,13
26,3,35.0,0.44761904761904764,0.6,0.15238095238095237,0.12883570722351126,3,0,18,2
81,3,33.0,0.6262626262626263,0.7777777777777777,0.15151515151515152,0.12121212121212127,3,0,19,4
85,3,34.0,0.7352941176470589,0.8725490196078431,0.13725490196078427,0.016980890270283145,3,0,15,1
78,3,32.0,0.7395833333333334,0.875,0.13541666666666666,0.10045469542700995,3,0,16,3
99,3,29.0,0.2298850574712644,0.3563218390804597,0.1264367816091954,0.11084656047118338,2,0,14,3
14,3,34.0,0.5392156862745098,0.6470588235294118,0.10784313725490198,0.06122547057253333,3,0,12,1
84,3,40.0,0.13333333333333333,0.2333333333333333,0.10000000000000002,0.024999999999999994,3,0,13,1
11,3,35.0,0.8571428571428572,0.9428571428571427,0.0857142857142857,0.0755928946018454,3,0,12,3
77,3,28.0,0.9047619047619048,0.9880952380952381,0.08333333333333333,0.05455447255899813,3,0,8,1
94,3,33.0,0.0707070707070707,0.15151515151515152,0.08080808080808081,0.04628864338339233,3,0,9,1
35,3,26.0,0.8974358974358975,0.9743589743589745,0.07692307692307694,0.03846153846153849,3,0,7,1
20,3,31.0,0.3763440860215053,0.45161290322580644,0.07526881720430106,0.018624202231923397,3,0,10,3
28,3,32.0,0.59375,0.6666666666666666,0.07291666666666667,0.07216878364870323,3,0,10,3
62,3,38.0,0.2192982456140351,0.28947368421052627,0.07017543859649124,0.015193428136569107,3,0,11,3
19,3,32.0,0.3854166666666667,0.4479166666666667,0.0625,0.05412658773652741,2,0,10,4
90,3,27.0,0.49382716049382713,0.5555555555555555,0.06172839506172837,0.11905741680238219,2,1,8,3
66,3,28.0,0.44047619047619047,0.5,0.059523809523809534,0.07434521426664759,2,0,11,6
88,3,28.0,0.44047619047619047,0.5,0.059523809523809514,0.10309826235529031,1,0,14,9
27,3,28.0,0.2976190476190476,0.35714285714285715,0.05952380952380951,0.10910894511799618,2,1,10,5
64,3,30.0,0.37777777777777777,0.43333333333333335,0.05555555555555558,0.03849001794597501,3,0,8,3
79,3,30.0,0.7777777777777778,0.8333333333333334,0.05555555555555558,0.05091750772173156,2,0,7,2
95,3,30.0,0.6333333333333333,0.6888888888888888,0.05555555555555558,0.06938886664887113,2,0,9,4
60,3,31.0,0.3548387096774193,0.40860215053763443,0.05376344086021506,0.037248404463846835,3,0,7,2
12,3,33.0,0.30303030303030304,0.35353535353535354,0.0505050505050505,0.046288643383392315,2,0,8,3
25,3,27.0,0.08641975308641975,0.13580246913580246,0.04938271604938271,0.021383343303319473,3,0,4,0
72,3,31.0,0.8064516129032256,0.8494623655913979,0.04301075268817208,0.04927500747264345,2,0,5,1
49,3,33.0,0.1717171717171717,0.21212121212121213,0.04040404040404041,0.04628864338339232,2,0,6,2
67,3,31.0,0.23655913978494625,0.26881720430107525,0.03225806451612903,0.03225806451612903,2,0,8,5
98,3,28.0,0.9047619047619048,0.9285714285714285,0.023809523809523836,0.04123930494211617,1,0,2,0
30,3,29.0,0.8620689655172414,0.8850574712643677,0.022988505747126447,0.019908629972056068,2,0,6,4
83,3,31.0,0.21505376344086025,0.23655913978494622,0.021505376344086013,0.06715051611181075,1,1,8,6
76,3,37.0,0.936936936936937,0.954954954954955,0.018018018018017983,0.04128446572032291,2,1,4,2
37,3,43.0,0.9844961240310077,1.0,0.01550387596899224,0.026853500892540714,1,0,2,0
34,3,30.0,0.5666666666666668,0.5777777777777778,0.011111111111111108,0.05091750772173154,1,1,3,2
48,3,31.0,0.25806451612903225,0.26881720430107525,0.01075268817204301,0.08118101543301881,1,1,9,8
75,3,32.0,0.9375,0.9479166666666666,0.010416666666666666,0.047735163489123336,1,1,2,1
70,3,34.0,0.8039215686274509,0.8137254901960783,0.009803921568627416,0.08490445135141554,2,1,7,6
68,3,32.0,0.3125,0.3125,0.0,0.14320549046737,1,2,6,6
74,3,30.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0,0,0,0
65,3,28.0,0.5357142857142857,0.5357142857142857,-3.700743415417188e-17,0.15567496226930977,2,1,10,10
71,3,31.0,0.5698924731182795,0.5698924731182795,-3.700743415417188e-17,0.055872606695770245,2,1,10,10
69,3,37.0,0.2702702702702703,0.2612612612612613,-0.009009009009009009,0.08256893144064577,1,2,7,8
97,3,34.0,0.4215686274509804,0.411764705882353,-0.009803921568627472,0.04492721269564548,1,1,9,10
23,3,33.0,0.6363636363636364,0.6262626262626263,-0.01010101010101013,0.03499092540543187,1,2,7,8
63,3,33.0,0.5555555555555556,0.5454545454545454,-0.01010101010101013,0.12616157572522022,2,1,6,7
43,3,33.0,0.7474747474747474,0.7272727272727272,-0.02020202020202026,0.07626095389162373,1,2,3,5
82,3,31.0,0.8602150537634409,0.8387096774193549,-0.02150537634408604,0.018624202231923428,0,2,0,2
92,3,30.0,0.9777777777777779,0.9555555555555556,-0.022222222222222216,0.01924500897298752,0,2,1,3
21,3,33.0,0.4343434343434343,0.40404040404040403,-0.030303030303030293,0.030303030303030304,0,2,4,7
15,3,33.0,0.7777777777777778,0.7474747474747474,-0.030303030303030314,0.05248638810814781,0,1,1,4
61,3,33.0,0.42424242424242425,0.3838383838383838,-0.04040404040404041,0.09257728676678466,1,2,4,8
89,3,30.0,0.7333333333333333,0.6666666666666666,-0.06666666666666661,0.10000000000000003,1,2,3,9
36,3,29.0,0.9310344827586207,0.8620689655172414,-0.06896551724137934,0.0,0,3,0,6
24,3,38.0,0.2807017543859649,0.21052631578947367,-0.07017543859649124,0.12436356911191075,1,2,3,11
93,3,35.0,0.5523809523809523,0.4666666666666666,-0.0857142857142857,0.10301575072754252,1,2,7,16
38,3,33.0,0.888888888888889,0.787878787878788,-0.10101010101010104,0.12616157572522016,0,2,0,10
