true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
73,38,48,38,-10
76,86,41,26,-15
84,71,34,31,-3
38,73,14,32,18
47,48,28,15,-13
43,86,19,28,9
76,77,11,27,16
23,28,23,27,4
24,21,14,23,9
48,47,10,22,12
97,11,22,11,-11
94,62,21,11,-10
43,78,7,21,14
94,69,16,20,4
15,14,20,10,-10
14,15,12,20,8
69,84,5,19,14
86,78,9,19,10
92,49,19,10,-9
68,66,19,11,-8
65,62,18,15,-3
78,77,18,0,-18
78,86,17,18,1
92,85,6,18,12
84,67,9,18,9
34,98,17,8,-9
94,83,17,0,-17
95,61,17,8,-9
74,38,17,12,-5
12,25,17,15,-2
84,70,16,4,-12
20,34,6,16,10
70,67,4,16,12
83,69,14,16,2
25,11,15,8,-7
97,27,15,4,-11
12,11,15,8,-7
17,27,14,1,-13
62,69,6,14,8
36,90,8,14,6
28,23,14,8,-6
90,28,12,14,2
69,67,4,14,10
21,22,14,5,-9
43,73,14,8,-6
71,67,0,13,13
68,93,13,8,-5
63,61,13,4,-9
77,86,13,1,-12
90,99,4,13,9
62,95,5,13,8
69,66,8,13,5
97,25,13,9,-4
67,70,13,8,-5
67,71,12,10,-2
24,11,12,5,-7
94,95,2,12,10
26,97,8,12,4
74,75,10,12,2
92,47,0,12,12
19,30,3,12,9
64,83,12,8,-4
49,81,12,8,-4
85,62,5,12,7
19,27,12,3,-9
84,62,9,12,3
22,97,10,12,2
86,77,12,1,-11
26,23,12,1,-11
64,67,1,11,10
68,62,11,11,0
88,19,11,8,-3
83,84,5,11,6
12,27,11,7,-4
43,77,11,3,-8
63,67,1,11,10
76,78,11,6,-5
19,22,11,8,-3
94,67,1,11,10
83,66,11,5,-6
18,21,11,3,-8
69,71,10,8,-2
21,26,10,10,0
65,70,10,5,-5
99,27,10,8,-2
81,59,10,0,-10
25,12,10,9,-1
63,59,1,10,9
36,99,10,2,-8
98,35,3,10,7
83,68,7,10,3
49,17,5,10,5
34,22,10,0,-10
64,59,10,9,-1
34,20,10,9,-1
20,30,5,10,5
84,83,6,10,4
75,74,10,5,-5
19,11,10,3,-7
70,84,4,10,6
88,26,5,10,5
93,17,9,6,-3
63,84,3,9,6
62,72,8,9,1
62,93,9,3,-6
11,24,2,9,7
21,24,8,9,1
90,97,9,6,-3
61,95,8,9,1
74,77,1,9,8
24,17,1,9,8
66,95,4,9,5
11,99,3,9,6
30,20,9,2,-7
79,47,5,9,4
95,62,9,6,-3
11,19,9,4,-5
24,23,5,9,4
93,47,6,9,3
21,11,4,9,5
37,74,7,9,2
67,79,9,3,-6
68,70,9,4,-5
36,19,9,3,-6
20,11,9,6,-3
21,18,4,9,5
66,83,9,2,-7
88,97,9,3,-6
11,12,9,4,-5
71,64,8,9,1
97,21,5,9,4
26,25,8,5,-3
36,24,7,8,1
83,67,8,8,0
14,61,8,3,-5
92,48,8,0,-8
25,89,2,8,6
28,99,8,3,-5
62,94,8,7,-1
64,84,4,8,4
12,30,1,8,7
99,36,4,8,4
64,70,8,8,0
67,69,8,7,-1
25,24,2,8,6
62,70,8,3,-5
34,89,4,8,4
79,70,8,3,-5
69,62,8,2,-6
36,28,3,8,5
71,70,8,2,-6
88,89,8,1,-7
48,59,4,8,4
19,23,8,5,-3
25,27,8,5,-3
62,59,2,8,6
68,63,8,1,-7
94,72,5,8,3
30,12,8,2,-6
95,69,3,8,5
84,69,7,8,1
67,95,3,8,5
61,72,5,8,3
22,99,8,5,-3
18,30,6,8,2
81,48,8,0,-8
11,25,3,8,5
95,65,7,5,-2
84,65,7,4,-3
81,47,7,0,-7
85,70,7,2,-5
19,24,3,7,4
22,11,7,2,-5
69,64,7,1,-6
99,11,7,0,-7
69,83,7,4,-3
72,61,7,4,-3
23,21,7,2,-5
24,36,4,7,3
66,62,7,2,-5
64,71,5,7,2
24,22,7,3,-4
59,70,7,0,-7
70,94,7,1,-6
89,24,1,7,6
90,26,1,7,6
60,59,7,1,-6
14,34,4,7,3
67,66,2,7,5
62,65,5,7,2
97,19,7,3,-4
22,19,7,2,-5
94,84,1,7,6
66,69,7,3,-4
62,84,7,4,-3
24,18,7,0,-7
66,67,2,7,5
20,99,7,2,-5
17,97,7,0,-7
22,12,7,0,-7
71,83,7,2,-5
17,25,7,7,0
94,66,7,6,-1
49,72,7,6,-1
48,26,6,7,1
97,22,5,7,2
85,79,7,4,-3
66,71,2,7,5
95,66,7,4,-3
22,26,5,7,2
17,99,7,0,-7
59,72,7,3,-4
62,61,7,0,-7
