province,seeds,mean_support,baseline_accuracy_mean,candidate_accuracy_mean,improvement_mean,improvement_std,improved_seeds,degraded_seeds,fixed_total,regressed_total
17,3,33.0,0.16161616161616163,0.6666666666666666,0.5050505050505051,0.10642074497831051,3,0,52,2
30,3,29.0,0.4597701149425288,0.8045977011494253,0.3448275862068965,0.12432935432634451,3,0,30,0
22,3,34.0,0.1568627450980392,0.4705882352941177,0.3137254901960784,0.1619873690378265,3,0,34,2
81,3,33.0,0.42424242424242425,0.7171717171717171,0.29292929292929293,0.0630807878626101,3,0,32,3
77,3,28.0,0.7023809523809524,0.9761904761904763,0.2738095238095238,0.11480536620229703,3,0,23,0
78,3,32.0,0.5104166666666666,0.7708333333333334,0.2604166666666667,0.036084391824351615,3,0,30,5
68,3,32.0,0.0625,0.3125,0.25,0.08267972847076846,3,0,26,2
59,3,34.0,0.36274509803921573,0.5980392156862745,0.23529411764705885,0.07781621503131148,3,0,27,3
34,3,30.0,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.10183501544346316,3,0,22,2
47,3,34.0,0.19607843137254902,0.37254901960784315,0.17647058823529413,0.058823529411764705,3,0,23,5
28,3,32.0,0.4375,0.59375,0.15625,0.0625,3,0,19,4
67,3,31.0,0.20430107526881716,0.3333333333333333,0.12903225806451613,0.06451612903225805,3,0,14,2
18,3,31.0,0.5376344086021505,0.6559139784946236,0.11827956989247311,0.08118101543301882,3,0,16,5
73,3,34.0,0.4803921568627451,0.5882352941176471,0.10784313725490198,0.13899457724272382,2,0,17,6
15,3,33.0,0.6666666666666666,0.7676767676767676,0.101010101010101,0.04628864338339233,3,0,15,5
95,3,30.0,0.27777777777777773,0.37777777777777777,0.10000000000000002,0.20275875100994067,1,1,16,7
75,3,32.0,0.5520833333333334,0.6458333333333334,0.09375,0.10825317547305482,2,1,14,5
49,3,33.0,0.18181818181818185,0.27272727272727276,0.0909090909090909,0.06060606060606061,3,0,15,6
85,3,34.0,0.5098039215686274,0.5980392156862745,0.08823529411764708,0.22205395397855152,2,1,18,9
26,3,35.0,0.42857142857142855,0.5142857142857142,0.0857142857142857,0.057142857142857134,3,0,12,3
88,3,28.0,0.2261904761904762,0.30952380952380953,0.08333333333333331,0.22681617718163868,2,1,14,7
72,3,31.0,0.6129032258064515,0.6881720430107526,0.07526881720430108,0.06715051611181073,2,0,13,6
97,3,34.0,0.1568627450980392,0.22549019607843138,0.06862745098039215,0.15092945410137895,2,1,16,9
60,3,31.0,0.3118279569892473,0.3763440860215053,0.06451612903225805,0.05587260669577022,2,0,11,5
25,3,27.0,0.19753086419753085,0.25925925925925924,0.06172839506172839,0.11315001715940344,2,1,10,5
